Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:8.237,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.238,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.239,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.240,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.241,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.242,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.254,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.255,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.256,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.257,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.258,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.259,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.260,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.261,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.262,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.263,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.264,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.276,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.277,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.278,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.279,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.280,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.281,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.282,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.283,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.284,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.285,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.286,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.301,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.302,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.303,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.304,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.305,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.306,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.307,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.308,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.309,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.310,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.311,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.319,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.320,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.321,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.322,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.323,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.324,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.325,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.326,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.327,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.328,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.329,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.330,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.331,"",
